label character JISx0208 UTF8 Cangjie
658 綿 0x4C4A u'\u7dbf' vfhab
659 約 0x4C73 u'\u7d04' vfpm
660 夕 0x4D3C u'\u5915' ni
661 要 0x4D57 u'\u8981' mwv
662 陸 0x4E26 u'\u9678' nlgcg
663 良 0x4E49 u'\u826f' iav
664 例 0x4E63 u'\u4f8b' omnn
665 六 0x4F3B u'\u516d' yc
666 へ 0x2458 u'\u3078' zc
667 べ 0x2459 u'\u3079' zc
668 ぺ 0x245A u'\u307a' zc
669 ほ 0x245B u'\u307b' zc
670 ぼ 0x245C u'\u307c' zc
671 ぽ 0x245D u'\u307d' zc
672 ま 0x245E u'\u307e' zc
673 位 0x304C u'\u4f4d' oyt
674 医 0x3065 u'\u533b' sok
675 右 0x3126 u'\u53f3' kr
676 液 0x3155 u'\u6db2' eyok
677 往 0x317D u'\u5f80' hoyg
678 下 0x323C u'\u4e0b' my
679 果 0x324C u'\u679c' wd
680 画 0x3268 u'\u753b' muw
681 界 0x3326 u'\u754c' woll
682 確 0x334E u'\u78ba' mrobg
683 刊 0x3429 u'\u520a' mjln
684 観 0x3451 u'\u89b3' ogbuu
685 器 0x346F u'\u5668' rrikr
686 季 0x3528 u'\u5b63' hdnd
687 客 0x3552 u'\u5ba2' jher
688 級 0x3569 u'\u7d1a' vfnhe
689 京 0x357E u'\u4eac' yrf
690 鏡 0x3640 u'\u93e1' cytu
691 金 0x3662 u'\u91d1' c
692 群 0x3732 u'\u7fa4' srtq
693 経 0x3750 u'\u7d4c' vfeg
694 件 0x376F u'\u4ef6' ohq
695 絹 0x3828 u'\u7d79' vfrb
696 言 0x3840 u'\u8a00' ymmr
697 五 0x385E u'\u4e94' mdm
698 功 0x3879 u'\u529f' mks
699 康 0x392F u'\u5eb7' ile
700 鉱 0x395B u'\u9271' xcii
701 混 0x3A2E u'\u6df7' eapp
702 災 0x3A52 u'\u707d' vvf
703 作 0x3A6E u'\u4f5c' oos
704 散 0x3B36 u'\u6563' tbok
705 史 0x3B4B u'\u53f2' lk
706 指 0x3B58 u'\u6307' qpa
707 詞 0x3B6C u'\u8a5e' yrsmr
708 持 0x3B7D u'\u6301' qgdi
709 七 0x3C37 u'\u4e03' ju
710 車 0x3C56 u'\u8eca' jwj
711 首 0x3C73 u'\u9996' thbu
712 拾 0x3D26 u'\u62fe' qomr
713 重 0x3D45 u'\u91cd' hjwg
714 処 0x3D68 u'\u51e6' hehn
715 勝 0x3E21 u'\u52dd' bfqs
716 照 0x3E48 u'\u7167' arf
717 常 0x3E6F u'\u5e38' fbrlb
718 心 0x3F34 u'\u5fc3' p
719 進 0x3F4A u'\u9032' yog
720 勢 0x402A u'\u52e2' giks
721 精 0x403A u'\u7cbe' fdqmb
722 石 0x4050 u'\u77f3' mr
723 説 0x4062 u'\u8aac' xyrcr
724 浅 0x4075 u'\u6d45' eij
725 素 0x4147 u'\u7d20' qmvif
726 走 0x4176 u'\u8d70' gyo
727 足 0x422D u'\u8db3' ryo
728 損 0x423B u'\u640d' qrbc
729 態 0x4256 u'\u614b' ipp
730 谷 0x432B u'\u8c37' cor
731 池 0x4353 u'\u6c60' epd
732 注 0x436D u'\u6ce8' eyg
733 調 0x4434 u'\u8abf' yrbgr
734 底 0x446C u'\u5e95' ihvi
735 天 0x4537 u'\u5929' mk
736 都 0x4554 u'\u90fd' janl
737 湯 0x4572 u'\u6e6f' eamh
738 同 0x4631 u'\u540c' bmr
739 独 0x4648 u'\u72ec' khlmi
740 入 0x467E u'\u5165' oh
741 波 0x4748 u'\u6ce2' edhe
742 博 0x476E u'\u535a' jibi
743 版 0x4847 u'\u7248' xlnhe
744 非 0x4873 u'\u975e' lmsy
745 氷 0x4939 u'\u6c37' ie
746 夫 0x4957 u'\u592b' qo
747 復 0x497C u'\u5fa9' hooae
748 文 0x4A38 u'\u6587' yk
749 返 0x4A56 u'\u8fd4' yhe
750 報 0x4A73 u'\u5831' gjsle
751 牧 0x4B52 u'\u7267' hqok
752 民 0x4C31 u'\u6c11' rvp
753 面 0x4C4C u'\u9762' mwsl
754 薬 0x4C74 u'\u85ac' tiod
755 予 0x4D3D u'\u4e88' ninn
756 陽 0x4D5B u'\u967d' nlamh
757 律 0x4E27 u'\u5f8b' holq
758 量 0x4E4C u'\u91cf' amwg
759 冷 0x4E64 u'\u51b7' imoii
760 録 0x4F3F u'\u9332' cnme
761 み 0x245F u'\u307f' zc
762 む 0x2460 u'\u3080' zc
763 め 0x2461 u'\u3081' zc
764 も 0x2462 u'\u3082' zc
765 や 0x2464 u'\u3084' zc
766 ゆ 0x2466 u'\u3086' zc
767 よ 0x2468 u'\u3088' zc
768 依 0x304D u'\u4f9d' oyhv
769 育 0x3069 u'\u80b2' yib
770 雨 0x312B u'\u96e8' mlby
771 益 0x3157 u'\u76ca' tcbt
772 応 0x317E u'\u5fdc' xxip
773 化 0x323D u'\u5316' op
774 歌 0x324E u'\u6b4c' mrno
775 芽 0x326A u'\u82bd' tmvh
776 絵 0x3328 u'\u7d75' vfomi
777 覚 0x3350 u'\u899a' fbbuu
778 勧 0x342B u'\u52e7' ogks
779 間 0x3456 u'\u9593' ana
780 基 0x3470 u'\u57fa' tcg
781 紀 0x352A u'\u7d00' vfsu
782 逆 0x3555 u'\u9006' ytu
783 給 0x356B u'\u7d66' vfomr
784 供 0x3621 u'\u4f9b' otc
785 業 0x3648 u'\u696d' tctd
786 銀 0x3664 u'\u9280' cav
787 軍 0x3733 u'\u8ecd' bjwj
788 計 0x3757 u'\u8a08' yrj
789 健 0x3772 u'\u5065' onkq
790 県 0x3829 u'\u770c' buvf
791 限 0x3842 u'\u9650' nlav
792 午 0x3861 u'\u5348' xoj
793 効 0x387A u'\u52b9' ykks
794 校 0x393B u'\u6821' dyck
795 高 0x3962 u'\u9ad8' yrbr
796 左 0x3A38 u'\u5de6' km
797 祭 0x3A57 u'\u796d' bommf
798 昨 0x3A72 u'\u6628' aos
799 産 0x3B3A u'\u7523' yhhqm
800 四 0x3B4D u'\u56db' wc
801 支 0x3B59 u'\u652f' je
802 詩 0x3B6D u'\u8a69' yrgdi
803 時 0x3B7E u'\u6642' agdi
804 失 0x3C3A u'\u5931' hqo
805 借 0x3C5A u'\u501f' ota
806 受 0x3C75 u'\u53d7' bbe
807 秋 0x3D29 u'\u79cb' hdf
808 宿 0x3D49 u'\u5bbf' joma
809 初 0x3D69 u'\u521d' lsh
810 商 0x3E26 u'\u5546' ycbr
811 省 0x3E4A u'\u7701' fhbu
812 情 0x3E70 u'\u60c5' pqmb
813 新 0x3F37 u'\u65b0' ydhml
814 人 0x3F4D u'\u4eba' o
815 性 0x402D u'\u6027' phqm
816 聖 0x403B u'\u8056' srmg
817 積 0x4051 u'\u7a4d' hdqmc
818 雪 0x4063 u'\u96ea' mbsm
819 線 0x407E u'\u7dda' vfhae
820 組 0x4148 u'\u7d44' vfbm
821 送 0x4177 u'\u9001' ytk
822 速 0x422E u'\u901f' ydl
823 村 0x423C u'\u6751' ddi
824 貸 0x425F u'\u8cb8' xopbu
825 単 0x4331 u'\u5358' fwj
826 置 0x4356 u'\u7f6e' wljbm
827 虫 0x436E u'\u866b' lmi
828 長 0x4439 u'\u9577' smv
829 庭 0x446D u'\u5ead' inkg
830 展 0x4538 u'\u5c55' stv
831 努 0x4558 u'\u52aa' veks
832 燈 0x4575 u'\u71c8' fnot
833 堂 0x4632 u'\u5802' fbrg
834 読 0x4649 u'\u8aad' yrgbu
835 任 0x4724 u'\u4efb' ohg
836 派 0x4749 u'\u6d3e' ehhv
837 白 0x4772 u'\u767d' ha
838 犯 0x4848 u'\u72af' khsu
839 飛 0x4874 u'\u98db' nohto
840 票 0x493C u'\u7968' mwmmf
841 婦 0x4958 u'\u5a66' vsmb
842 幅 0x497D u'\u5e45' lbmrw
843 聞 0x4A39 u'\u805e' ansj
844 便 0x4A58 u'\u4fbf' omlk
845 放 0x4A7C u'\u653e' ysok
846 本 0x4B5C u'\u672c' dm
847 務 0x4C33 u'\u52d9' nhoks
848 毛 0x4C53 u'\u6bdb' hqu
849 訳 0x4C75 u'\u8a33' yrso
850 余 0x4D3E u'\u4f59' omd
851 養 0x4D5C u'\u990a' toiav
852 率 0x4E28 u'\u7387' yioj
853 領 0x4E4E u'\u9818' oimbc
854 礼 0x4E69 u'\u793c' ifu
855 論 0x4F40 u'\u8ad6' yromb
856 ら 0x2469 u'\u3089' zc
857 り 0x246A u'\u308a' zc
858 る 0x246B u'\u308b' zc
859 れ 0x246C u'\u308c' zc
860 ろ 0x246D u'\u308d' zc
861 わ 0x246F u'\u308f' zc
862 を 0x2472 u'\u3092' zc
863 ん 0x2473 u'\u3093' zc
864 囲 0x304F u'\u56f2' wtt
865 一 0x306C u'\u4e00' m
866 運 0x313F u'\u904b' ybjj
867 駅 0x3158 u'\u99c5' sfso
868 横 0x3223 u'\u6a2a' dtlc
869 仮 0x323E u'\u4eee' ohe
870 河 0x324F u'\u6cb3' emnr
871 賀 0x326C u'\u8cc0' krbuc
872 開 0x332B u'\u958b' anmt
873 角 0x3351 u'\u89d2' nbq
874 完 0x3430 u'\u5b8c' jmmu
875 関 0x3458 u'\u95a2' antk
876 寄 0x3473 u'\u5bc4' jkmr
877 規 0x352C u'\u898f' qobuu
878 久 0x3557 u'\u4e45' xno
879 旧 0x356C u'\u65e7' la
880 競 0x3625 u'\u7af6' yuytu
881 局 0x3649 u'\u5c40' ssr
882 九 0x3665 u'\u4e5d' kn
883 郡 0x3734 u'\u90e1' srnl
884 軽 0x375A u'\u8efd' jjeg
885 兼 0x3773 u'\u517c' txc
886 見 0x382B u'\u898b' buhu
887 個 0x3844 u'\u500b' owjr
888 後 0x3865 u'\u5f8c' hovie
889 厚 0x387C u'\u539a' mand
890 構 0x393D u'\u69cb' dttb
891 号 0x3966 u'\u53f7' rmvs
892 差 0x3A39 u'\u5dee' tqm
893 細 0x3A59 u'\u7d30' vfw
894 策 0x3A76 u'\u7b56' hdb
895 算 0x3B3B u'\u7b97' hbut
896 士 0x3B4E u'\u58eb' jm
897 止 0x3B5F u'\u6b62' ylm
898 試 0x3B6E u'\u8a66' yripm
899 次 0x3C21 u'\u6b21' mmno
900 室 0x3C3C u'\u5ba4' jmig
901 釈 0x3C61 u'\u91c8' hdso
902 授 0x3C78 u'\u6388' qbbe
903 終 0x3D2A u'\u7d42' vfhey
904 祝 0x3D4B u'\u795d' ifrhu
905 所 0x3D6A u'\u6240' hshml
906 唱 0x3E27 u'\u5531' raa
907 称 0x3E4E u'\u79f0' hdnf
908 条 0x3E72 u'\u6761' hed
909 森 0x3F39 u'\u68ee' ddd
910 仁 0x3F4E u'\u4ec1' omm
911 成 0x402E u'\u6210' ihs
912 声 0x403C u'\u58f0' gah
913 績 0x4053 u'\u7e3e' vfqmc
914 絶 0x4064 u'\u7d76' vfnau
915 船 0x4125 u'\u8239' hyhnr
916 創 0x414F u'\u5275' orln
917 像 0x417C u'\u50cf' onao
918 俗 0x422F u'\u4fd7' ocor
919 他 0x423E u'\u4ed6' opd
920 退 0x4260 u'\u9000' yav
921 炭 0x433A u'\u70ad' umf
922 築 0x435B u'\u7bc9' hmnd
923 著 0x4378 u'\u8457' tjka
924 鳥 0x443B u'\u9ce5' hayf
925 弟 0x446F u'\u5f1f' cnlh
926 店 0x4539 u'\u5e97' iyr
927 度 0x4559 u'\u5ea6' ite
928 当 0x4576 u'\u5f53' fsm
929 導 0x4633 u'\u5c0e' yudi
930 届 0x464F u'\u5c4a' slw
931 認 0x4727 u'\u8a8d' yrsip
932 破 0x474B u'\u7834' mrdhe
933 麦 0x477E u'\u9ea6' qme
934 飯 0x4853 u'\u98ef' oihe
935 備 0x4877 u'\u5099' othb
936 表 0x493D u'\u8868' qmv
937 富 0x4959 u'\u5bcc' jmrw
938 服 0x497E u'\u670d' bsle
939 兵 0x4A3C u'\u5175' omc
940 勉 0x4A59 u'\u52c9' nuks
941 方 0x4A7D u'\u65b9' yhs
942 妹 0x4B65 u'\u59b9' vjd
943 無 0x4C35 u'\u7121' otf
944 木 0x4C5A u'\u6728' d
945 油 0x4C7D u'\u6cb9' elw
946 預 0x4D42 u'\u9810' nnmbc
947 欲 0x4D5F u'\u6b32' crno
948 立 0x4E29 u'\u7acb' yt
949 力 0x4E4F u'\u529b' ks
950 歴 0x4E72 u'\u6b74' mddm
951 和 0x4F42 u'\u548c' hdr
